"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"605.11_362.2962m/z",-0.011884,-0.0015437,0.060353,0.025033,0.14164,-0.0027107,-0.052213,0.10592
"508.61_706.6809m/z",0.28332,-0.079793,0.22746,-0.3072,-0.030248,0.23901,0.063331,0.17921
"385.18_521.5131m/z",0.0012691,-0.24484,-0.21373,0.15869,-0.1335,0.30536,0.10941,-0.075958
"604.88_361.2892m/z",-0.0062595,0.01494,0.071553,0.0049059,0.12226,-0.0038691,-0.068545,-0.0044665
"605.34_365.3203m/z",0.0084447,0.0060607,0.13324,0.052351,0.13363,0.040568,-0.10009,-0.012119
"584.01_362.2963m/z",0.013429,0.12867,0.13865,0.31408,-0.23153,0.22996,-0.81234,0.45777
"385.18_522.5162m/z",0.00065087,-0.241,-0.21886,0.16633,-0.1415,0.30967,0.083943,-0.089919
"605.11_363.305m/z",-0.014323,-0.0092745,0.076728,0.040072,0.10586,0.013608,-0.034561,0.0093164
"605.11_640.5202m/z",-0.035059,-0.0078894,0.09191,-0.0017192,0.21429,0.012609,0.0010731,-0.038627
"Cer(d18:1/16:0)",0.0016924,-0.24589,-0.2188,0.1707,-0.13314,0.30355,0.12705,-0.075879
"556.4_636.6657m/z",0.41697,0.28325,0.35536,-0.8122,0.21666,0.34057,-0.11961,-0.24753
"326.44_935.5657m/z",0.27847,0.029072,0.29991,0.033229,-0.16738,0.07845,0.11998,0.045059
"385.19_520.5097m/z",3.9104e-05,-0.25316,-0.21588,0.16497,-0.13305,0.3016,0.14077,-0.050291
"409.6_814.6245m/z",0.10586,0.26498,-0.14677,0.1201,-0.18842,0.15873,0.039896,-0.073903
"605.34_644.55m/z",-0.070906,-0.0047413,0.22732,0.043513,0.21503,-0.049138,-0.34765,-0.22793
"409.6_816.6295m/z",0.059329,0.38711,-0.12535,0.42335,-0.25077,0.18259,0.37977,-0.40903
"605.11_639.5137m/z",-0.03267,-0.012587,0.077128,-0.019749,0.21121,0.012512,0.0032129,-0.035327
"605.34_641.5281m/z",-0.030002,-0.01538,0.11123,0.014252,0.18573,0.015813,-0.032635,-0.050475
"409.6_813.6214m/z",0.1055,0.26347,-0.15209,0.11682,-0.18342,0.15494,0.03322,-0.060777
"409.6_812.6178m/z",0.10581,0.26441,-0.15619,0.1128,-0.18163,0.15935,0.029942,-0.051806
"PC(18:0/20:3)",0.10866,0.2694,-0.14916,0.11718,-0.18902,0.16123,0.026107,-0.065214
"605.34_642.5326m/z",-0.03317,-0.024153,0.09687,0.023455,0.17569,0.00044541,0.00044418,-0.064874
"352.68_518.4936m/z",0.053072,-0.20375,-0.12877,0.02487,-0.13772,0.2534,-0.27239,-0.12918
"409.6_815.6281m/z",0.10325,0.23882,-0.14133,0.1185,-0.18162,0.16338,0.034288,-0.050961
"648.0_957.7928m/z",0.37378,-0.2453,0.33973,0.70948,-0.6421,-0.022451,-0.086701,-0.032874
"605.11_364.3105m/z",-0.011403,-0.020346,0.061822,-0.0046057,0.057629,0.0091125,0.067144,-0.0032236
"586.52_778.6895m/z",0.7155,0.059258,-0.60546,0.20198,0.53887,-0.49784,-0.0002298,0.13014
"584.01_363.3051m/z",0.013092,0.11748,-0.012849,-0.045288,-0.10841,0.058148,-0.37039,0.81358
"352.68_519.497m/z",0.058384,-0.18458,-0.12141,-0.029078,-0.11364,0.24599,-0.37944,-0.20768
"429.33_826.641m/z",0.029136,0.22089,-0.35721,0.18512,-0.16987,0.11965,-0.036329,0.019313
