"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"586.52_778.6895m/z",3.4283,3.0949,3.0942,3.0896,2.751,2.6814,2.6521,2.652
"648.0_957.7928m/z",2.3806,2.1841,2.184,2.1782,2.5631,2.2,2.1761,2.176
"556.4_636.6657m/z",2.2515,2.108,2.107,2.1089,2.1517,2.0063,1.9939,1.9939
"508.61_706.6809m/z",1.8871,1.7133,1.7129,1.7096,1.5307,1.4916,1.4857,1.4856
"326.44_935.5657m/z",1.6693,1.5111,1.5111,1.5069,1.3524,1.1735,1.1607,1.1606
"605.34_644.55m/z",0.4344,0.41374,0.41495,0.41913,0.49612,0.58739,0.65443,0.6544
"352.68_519.497m/z",0.39502,0.64569,0.64726,0.64664,0.6032,0.52541,0.66558,0.66568
"352.68_518.4936m/z",0.38875,0.63145,0.63196,0.63009,0.5484,0.6681,0.69957,0.69954
"429.33_826.641m/z",0.27058,0.51855,0.52048,0.52086,0.51124,0.55361,0.54839,0.54838
"409.6_815.6281m/z",0.25416,0.571,0.57107,0.56937,0.59916,0.56675,0.56046,0.56049
"409.6_816.6295m/z",0.24023,1.0468,1.0464,1.0507,0.99098,0.96183,0.95275,0.95288
"PC(18:0/20:3)",0.2351,0.64479,0.64474,0.64301,0.60613,0.66873,0.6622,0.66218
"409.6_812.6178m/z",0.22926,0.62656,0.62656,0.62482,0.59544,0.63575,0.62997,0.62995
"409.6_814.6245m/z",0.22852,0.63349,0.63343,0.63173,0.60186,0.65413,0.64806,0.64803
"584.01_362.2963m/z",0.2263,0.48149,0.48148,0.48778,0.55033,0.59284,0.73638,0.7365
"409.6_813.6214m/z",0.22257,0.62453,0.62454,0.62283,0.59537,0.63529,0.62873,0.62872
"605.11_640.5202m/z",0.20659,0.22059,0.22344,0.23983,0.67565,0.58731,0.58168,0.58167
"605.11_639.5137m/z",0.16377,0.1657,0.16845,0.18007,0.55048,0.47644,0.47233,0.47231
"605.34_642.5326m/z",0.14644,0.1376,0.14059,0.14978,0.33424,0.37953,0.37594,0.376
"605.34_641.5281m/z",0.14264,0.14248,0.14536,0.15378,0.35111,0.40364,0.40448,0.40457
"385.19_520.5097m/z",0.13866,0.57205,0.57187,0.57761,0.52827,0.91792,0.90997,0.90996
"Cer(d18:1/16:0)",0.12609,0.54233,0.54215,0.55021,0.52667,0.98908,0.98046,0.98042
"385.18_521.5131m/z",0.12231,0.56406,0.56403,0.56826,0.5045,0.82369,0.81477,0.8148
"584.01_363.3051m/z",0.11433,0.29374,0.29376,0.29293,0.30706,0.72468,0.71754,0.71813
"605.11_362.2962m/z",0.11116,0.1451,0.14705,0.16511,0.48812,0.43491,0.43016,0.43018
"385.18_522.5162m/z",0.1071,0.51913,0.51894,0.52901,0.54247,1.1141,1.1049,1.1048
"604.88_361.2892m/z",0.087802,0.12558,0.12613,0.13084,0.26462,0.27428,0.3007,0.30073
"605.11_363.305m/z",0.054928,0.082471,0.086923,0.10038,0.25881,0.22939,0.23003,0.23002
"605.34_365.3203m/z",0.02557,0.1575,0.16048,0.18219,0.48519,0.43388,0.45114,0.45112
"605.11_364.3105m/z",0.0062605,0.025162,0.02875,0.028671,0.032509,0.19633,0.19435,0.19455
