"","Comp 1","Comp 2","Comp 3","Comp 4"
"977",0.65898,0.11539,0.07662,0.060819
"980",0.53582,-0.022052,-0.069108,-0.08825
"1191",0.56028,0.093671,0.040949,0.094639
"1224",0.67144,0.065217,-0.0087679,0.074563
"1228",0.4827,-0.15205,-0.021398,-0.1394
"994",-0.098966,-0.049545,0.04034,-0.048063
"1029",-0.0035626,0.20945,-0.16311,-0.037775
"1038",-0.1687,-0.18439,0.061423,0.049365
"1078",-0.48292,0.062085,-0.076934,0.081293
"1107",-0.19928,-0.073985,0.051049,0.0037649
"1119",-0.11072,-0.20361,-0.17121,0.075909
"1131",-0.28594,0.12393,0.049244,-0.056824
"1136",-0.41597,0.12192,0.011291,0.0057172
"1151",-0.043683,-0.027568,-0.040012,-0.050518
"1168",-0.16127,-0.14946,-0.011632,0.035818
"1169",-0.32132,0.13338,0.044266,-0.046176
"1177",-0.25201,-0.084066,0.052144,0.034522
"1207",-0.3706,0.12562,0.028186,-0.018882
"1242",0.0057482,-0.10394,0.10665,-0.030517
