"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"994",0.20472,0.00062964,0.0021582,0.00034383,0.0028148,7.2194e-06
"1029",0.13203,0.013394,0.0026899,-0.0043584,-0.0075983,-1.0819e-05
"1038",0.23056,0.012729,0.0039178,-0.0033079,-0.0037665,2.4515e-06
"1078",0.16706,0.026959,-0.0055198,-0.012543,0.0038411,5.4104e-06
"1107",-0.17591,0.013547,0.013568,0.011065,-0.0048077,4.3687e-06
"1119",-0.1386,0.013434,0.0037538,0.00020275,-0.0029167,4.6929e-06
"1131",0.19353,0.029585,-0.013752,0.018877,0.004006,-1.1449e-06
"1136",0.1918,-0.020861,0.0032898,0.00013017,0.0036175,1.6443e-06
"1151",-0.17387,0.007359,-0.0013478,-0.00097876,0.0039351,-3.0887e-06
"1168",0.19548,0.010998,0.0038155,-0.00012176,-0.0022822,5.0461e-06
"1169",-0.1114,-0.013803,-0.0047161,0.00012172,-3.5818e-05,2.2734e-06
"1177",0.2013,0.02353,-0.0014989,-0.0061777,-0.0019974,6.1169e-06
"1207",-0.019129,-0.0088983,-0.0044839,-0.00071261,0.00056766,3.9064e-06
"1242",0.26232,0.0057447,0.0062266,-0.00023448,0.0048495,2.5399e-06
"936",0.042172,0.017327,0.0091538,-0.001879,0.0063617,-2.0243e-05
"970",0.052709,-0.0045001,0.0024531,-3.0033e-05,-9.2881e-06,4.8678e-06
"971",-0.19263,0.010334,0.0060503,-0.00059448,0.0021914,-6.4657e-06
"976",0.039121,-0.010199,0.0013046,-0.00039644,0.003581,2.0332e-07
"1019",0.39207,-0.015787,-0.0010803,0.00022225,-0.0011128,-1.6993e-06
"1024",-0.14887,-0.0039721,0.0027856,0.00041648,0.00037246,1.2977e-06
"1033",-0.11747,-0.010061,-0.00086261,-0.0013788,0.005243,-9.5959e-06
"1046",-0.04309,-0.010323,-0.010322,-0.00057775,-0.001461,-3.0214e-06
"1054",-0.16613,0.0019774,-0.0043531,0.0006576,0.001883,4.0645e-06
"1056",-0.11071,-0.012884,-0.0011132,0.0013165,0.0025353,7.4283e-07
"1090",0.091817,-0.012471,0.0026593,-0.00052653,0.0034727,3.8591e-07
"1092",-0.067311,-0.012126,-0.006006,0.0004732,-0.0030602,-4.7489e-06
"1097",0.11365,-0.016636,0.0028808,0.00067927,0.0033055,1.47e-06
"1100",-0.19361,0.0077559,0.00070547,-0.0001339,-0.0017463,3.9688e-06
"1104",0.02747,-0.011895,-0.0026198,-5.9923e-05,-0.00013497,3.3119e-06
"1106",-0.08583,-0.014784,-0.0025599,0.00067645,-0.004154,-5.3214e-06
"1110",-0.12838,0.0089134,-0.0061333,-0.0048996,0.0011699,4.4289e-06
"1112",-0.079387,-0.0036653,-0.0027389,-0.001398,0.0026668,2.0557e-06
"1114",0.15972,-0.02088,-0.0080921,-0.0050716,-0.0030508,-8.8028e-06
"1117",-0.12562,0.0028904,0.0019982,0.00025626,0.0044479,-6.5334e-06
"1127",0.029714,-0.013707,0.0062689,0.0021315,-0.0044908,-1.3728e-06
"1128",-0.1058,-0.0014229,-0.0050248,-0.0010503,0.0021961,3.8603e-06
"1129",0.20084,-0.0077517,0.0018644,0.0010422,0.0026442,6.3723e-06
"1134",0.022803,-0.0077283,0.003787,0.0012821,-0.00089549,4.0333e-06
"1143",-0.18322,0.015037,0.0051055,-0.0018959,0.0012452,-2.4283e-06
"1152",-0.15112,0.0040928,-0.0041488,-0.00015702,0.00022804,4.7134e-06
"1153",0.19344,0.029659,-0.0082632,0.0063806,-0.001083,-5.6008e-06
"1164",-0.19178,0.0024856,0.0012348,0.00028324,0.0010776,1.1362e-06
"1172",0.12448,-0.0078054,-0.00019925,0.0019146,-0.0018353,9.3702e-07
"1173",-0.17171,0.0027292,0.0026205,0.00084539,0.00056945,1.9427e-06
"1192",0.053944,-0.013872,0.0010901,0.0015603,-0.0043081,-5.1853e-06
"1194",0.022557,-0.0078818,0.0041778,0.0024052,-0.0011932,3.9868e-06
"1195",-0.11339,0.0017255,0.00052596,-0.00021898,-0.0024904,2.9461e-06
"1197",-0.13032,0.0077394,0.0024732,-0.0010272,-0.0026518,3.8808e-06
"1198",-0.16755,-0.0067228,-0.0035192,-0.0012768,0.0012644,1.8268e-06
"1205",-0.059503,-0.0029461,-0.0024214,0.0015475,-0.0033969,-2.138e-06
"1210",0.067711,-0.00605,-0.00099599,0.0018613,-0.0047169,-8.7785e-06
"1234",-0.053376,0.02875,-0.0032218,-0.0058879,-0.0054588,-1.3929e-06
"1236",0.048158,0.0030771,0.0068018,-0.00040421,0.0036082,-3.2655e-06
"1238",0.064499,-0.011391,0.0070038,0.00085438,-0.0018354,3.286e-06
"1243",-0.11995,-0.01138,-0.0073697,-0.00024741,-0.0012053,2.5764e-07
