"","samples","response","409.6_816.6295m/z","409.6_814.6245m/z","409.6_813.6214m/z","PC(18:0/20:3)","409.6_812.6178m/z","409.6_815.6281m/z"
"1",936,"SD",97354.89208,4683576.088,16474243.48,31946325.54,32378760.76,874883.7188
"2",970,"SD",139965.9051,6809569.201,24546210.75,48139863.68,48397866.76,1237916.597
"3",971,"SD",179582.9216,4990528.608,17719815.3,34308421.15,34784859.4,910483.0785
"4",976,"SD",163319.5755,7769289.378,27743129.79,54850853.76,54951629.88,1384141.563
"5",994,"PR",75811.97738,5251311.963,18863576.68,37109599.39,37415517.9,973392.6379
"6",1019,"SD",125960.5176,13352849.45,48814287.75,97102801.49,96833401.05,2452233.099
"7",1024,"SD",219392.4783,6723952.111,24098907.95,47075329.07,47472194.79,1201476.057
"8",1029,"PR",66548.50045,3811531.721,14009596.81,27209077.58,27190612.53,736591.8003
"9",1033,"SD",299346.6097,9964309.137,35334424.18,70114974.77,70081711.36,1749778.766
"10",1038,"PR",51481.28308,3730253.542,13595713.8,26475097.57,26541095.38,719526.4869
"11",1046,"SD",304097.0425,11749208.14,42889286.6,85804974.94,85551561.2,2127574.834
"12",1054,"SD",219087.9026,6427843.446,23087665.1,45530252.91,45979514.24,1168542.083
"13",1056,"SD",225453.3526,7571791.227,27109910.44,53578133.13,53881009.84,1330842.091
"14",1078,"PR",61457.01052,3887165.254,13886981.89,27737706.54,27193528.58,764213.3802
"15",1090,"SD",168222.6002,9046038.785,32308116.91,63858979.04,63890024.74,1608405.698
"16",1092,"SD",233857.6242,8544677.136,31210978.22,61878010.28,61920582.5,1535647.141
"17",1097,"SD",168717.9899,9543045.811,34136041.06,67491242.36,67627056.63,1684834.424
"18",1100,"SD",187335.8676,5133107.705,18515407.82,36021790.18,36439395.26,944435.3471
"19",1104,"SD",193229.1967,8855789.508,32054018.69,63529454.32,63542429.55,1589401.369
"20",1106,"SD",332778.2103,11663773.13,42584735.76,83937608.22,84035472.29,2076785.986
"21",1107,"PR",170987.7436,4855118.754,17605924.17,32991760.02,34725162.46,902059.5547
"22",1110,"SD",219682.3123,7015748.4,25214145.63,50009882.37,49792966.13,1301994.79
"23",1112,"SD",220132.7575,7926687.787,28382720.12,56215084.45,56281909.28,1427475.404
"24",1114,"SD",181970.3071,11246655.54,41205477.72,83060799.07,81251201.25,2021877.398
"25",1117,"SD",172307.2716,5604529.607,19890631.67,38971138.5,39416064.49,1011616.43
"26",1119,"PR",143192.2803,4441950.974,16055887.87,30992432.12,31482506.4,830939.3642
"27",1127,"SD",200102.4611,9187249.102,33435400.46,64970002.5,65503833.72,1641371.14
"28",1128,"SD",277241.0416,9362174.627,33623339.77,66681314.2,66854369.02,1697011.576
"29",1129,"SD",90611.36546,6230596.746,22403089.57,44207132.24,44483977.5,1133860.826
"30",1131,"PR",40901.81356,2683665.588,9878958.74,19298103.43,20729464.41,542568.9383
"31",1134,"SD",155031.9753,7037364.417,25402464.76,49645727.37,50055885.09,1267624.068
"32",1136,"PR",136595.9147,9269861.422,33163747.69,65786417.53,65660292.42,1629885.513
"33",1143,"SD",166009.3672,4697897.709,16727636.01,32388947.12,32767359.15,869222.5175
"34",1151,"PR",205814.5132,5967114.155,21229751.19,41733787.99,42106332.8,1088383.653
"35",1152,"SD",185464.0907,5612084.233,20240919.26,39845184.77,40169883.05,1029419.596
"36",1153,"SD",NA,NA,NA,NA,NA,NA
"37",1164,"SD",215992.0577,5989653.989,21434848.77,41864243.93,42322702.06,1082357.482
"38",1168,"PR",56041.71062,3752978.806,13644117.52,26526004.86,26833790.65,717573.1749
"39",1169,"PR",351751.6384,11710079.12,42319278.52,84025973.83,84030114.2,2072391.094
"40",1172,"SD",127329.4282,7261591.843,26447340.34,52006031.03,52418776.65,1328244.355
"41",1173,"SD",200734.4239,5826388.33,20871802.25,40639547.57,41168590.79,1054864.669
"42",1177,"PR",41530.10564,2808031.831,10209169.11,20044952.16,19998470.68,554592.2007
"43",1192,"SD",208724.876,10100186.58,36915785.08,72401715.71,72729926.65,1817415.125
"44",1194,"SD",173421.1048,7860370.201,28408723.97,55405851.3,56050682.51,1416101.315
"45",1195,"SD",181312.3164,5973371.479,21630148.62,42226760.61,42555183.57,1093515.933
"46",1197,"SD",169817.0528,5379862.211,19438958.51,37754869.73,38093293.93,994728.62
"47",1198,"SD",354415.716,10395971.83,37316339.11,73878172.69,73893099.29,1852164.6
"48",1205,"SD",190283.7493,7068092.673,25787442.36,50572242.49,51044544.61,1293823.276
"49",1207,"PR",299719.2869,12337127.44,44577292.6,88553895.21,88505549.57,2221463.236
"50",1210,"SD",170509.3756,8473735.157,31084574.49,60925810.64,61428997.08,1559070.782
"51",1234,"SD",82303.05259,3068165.037,11213783.2,21855921.62,21889178.41,605354.0315
"52",1236,"SD",115350.4088,5603040.823,19917120.4,38830559.45,39215341.99,1022906.809
"53",1238,"SD",163246.0681,8169087.873,29495759.14,57458701.19,57799857.95,1461734.807
"54",1242,"PR",51483.97695,4096298.497,14595317.21,28573392.26,28866969.99,765022.5422
"55",1243,"SD",244752.886,7949697.659,28877273.77,57460039.98,57406409.32,1421154.757
